OBJECTID,Is 24 Hours,Car Park Count,Has Carpark Cost,Has Tourist Attraction,Latitude,Longitude,Number Of Connectors,Has Charging Cost,x,y,Combined Latitude,Combined Longitude
184768,1,1,0,0,-45.912893,169.686481,2,1,1343028.648,4910290.429,671491.3675535,2455230.0577404997
183512,1,1,0,0,-35.684183,174.321699,4,1,1719598.147,6050274.608,859781.2314085001,3025224.4648495
187375,1,1,0,0,-40.355518,175.611913,2,1,1821804.114,5529507.644,910881.879241,2764841.6279565003
189229,1,1,0,0,-41.211402,174.904391,4,1,1759653.304,5436026.455,879806.046299,2718100.6796955
191113,1,1,0,0,-43.460349,172.622245,2,1,1569440.661,5187992.871,784698.6003255,2594082.7466225
191987,1,1,0,0,-41.289609,174.776206,2,1,1748728.993,5427571.301,874343.8516955,2713873.038603
184951,1,1,0,0,-42.52231104,172.8283791,4,1,1585903.587,5292215.261,792930.53234448,2646194.04468955
181907,1,1,0,1,-41.277922,173.766868,2,1,1664223.355,5430106.663,832091.038539,2715140.214934
185208,1,1,0,0,-45.03624,169.196961,2,1,1300451.42,5005984.545,650203.1918799999,2503076.8709805
182404,1,1,0,1,-43.156522,172.730383,2,1,1578079.822,5221768.186,789018.332739,2610970.4581915
188779,1,1,0,0,-41.28381,174.738131,2,1,1745553.579,5428279.658,872756.147595,2714227.1980655
189656,1,1,0,0,-39.809757,175.788255,2,1,1838680.954,5589637.665,919320.5721214999,2794906.7266275
180088,1,1,0,1,-41.310593,174.777546,2,1,1748793.483,5425239.313,874376.0862035,2712707.045273
183713,1,1,0,0,-40.452043,175.842403,4,1,1841035.011,5518187.63,920497.2794785,2759181.7362015
181437,1,1,0,1,-41.114531,173.011033,2,1,1600926.284,5448528.725,800442.5847345,2724350.8680165
189215,1,1,0,0,-40.861299,175.02426,2,1,1770604.929,5474667.759,885282.0338505,2737421.39163
181406,1,1,0,1,-39.492478,176.914804,2,1,1936677.786,5621249.018,968319.146761,2810712.9664020003
181080,1,1,0,1,-44.733077,170.470618,2,1,1399721.882,5043588.303,699838.5744615,2521879.3868090003
190189,1,1,0,0,-42.941842,171.563088,3,1,1482768.366,5244641.951,741362.712079,2622406.757044
182857,1,1,0,1,-42.716811,170.96319,2,1,1433219.729,5268620.634,716588.5060945001,2634395.7985949996
182363,1,1,0,1,-41.270097,173.284786,3,1,1623852.912,5431219.802,811905.8209515,2715696.543393
190854,1,1,0,0,-43.73745,170.100913,1,1,1366541.235,5153202.164,683248.7487750001,2576686.1324565
191500,1,1,0,0,-40.47165,175.281212,4,1,1793385.383,5517392.601,896672.455675,2758783.941106
187694,1,1,0,0,-43.53915549,172.6074866,2,1,1568288.02,5179235.245,784122.240422255,2589703.9262433
189650,1,1,0,0,-39.492478,176.914804,2,1,1936677.786,5621249.018,968319.146761,2810712.9664020003
185035,1,1,0,0,-37.891785,175.466957,2,1,1816926.742,5803322.327,908444.4251075,2901748.8969785
182730,1,1,0,1,-37.139161,175.543117,2,1,1825883.793,5886662.106,912923.3269195,2943418.8245584997
189663,1,1,0,0,-40.228115,175.56948,2,1,1818610.752,5543756.786,909285.2619425,2771966.17774
187163,1,1,0,0,-34.819858,173.124679,2,1,1611402.046,6146926.618,805683.6130710001,3073549.8713395
189691,1,1,0,0,-41.270097,173.284786,3,1,1623852.912,5431219.802,811905.8209515,2715696.543393
186900,1,1,0,0,-39.454334,173.86043,2,1,1674027.852,5632450.277,836994.198833,2816312.068715
181065,1,1,0,1,-43.802778,172.968048,2,1,1597429.806,5150031.297,798693.001611,2575102.132524
181755,1,1,0,1,-37.78702527,175.2839907,4,1,1801120.224,5815357.594,900541.2184873649,2907766.4389953497
183067,1,1,0,1,-36.759005,175.49873,2,1,1823047.099,5928949.722,911505.1699974999,2964562.610365
182739,1,1,0,1,-37.695622,176.16147,2,1,1878747.929,5823250.352,939355.116689,2911713.256735
190005,1,1,0,0,-40.29789962,175.7499664,4,1,1833727.898,5535548.78,916843.8000501901,2767862.2649832
187233,1,1,0,0,-44.303657,171.225107,4,1,1458426.711,5092867.904,729191.2036715,2546519.5645535
186258,1,1,0,0,-35.50505,173.391141,2,1,1635471.66,6070876.152,817718.0774749999,3035524.7715705
186404,1,1,0,0,-37.740247,177.675372,3,1,2012044.296,5812701.452,1006003.2778765,2906439.5636859997
182659,1,1,0,1,-41.29055552,174.8970403,2,1,1758845.116,5427252.116,879401.91272224,2713713.50652015
191018,1,1,0,0,-39.133366,177.003793,3,1,1946101.465,5660784.554,973031.1658170001,2830480.7788965
180534,1,1,0,1,-41.278398,174.757247,2,1,1747166.607,5428848.28,873562.6643010001,2714511.5186235
181208,1,1,0,1,-34.517702,172.840523,4,1,1585362.582,6180428.282,792664.032149,3090300.5612614998
186959,1,1,0,0,-41.311693,174.786123,2,1,1749508.956,5425102.443,874733.8221535,2712638.6145615
181766,1,1,0,1,-37.7185873,175.2663418,4,1,1799749.934,5822989.948,899856.1077063499,2911582.6071709
184685,1,1,0,0,-42.387995,173.679475,2,1,1655929.49,5306920.096,827943.5510025,2653546.8877375
181375,1,1,0,1,-38.008473,175.328916,2,1,1804462.814,5790685.266,902212.4027635,2895430.297458
184589,1,1,0,0,-38.218022,175.867543,2,1,1851040.244,5766106.29,925501.012989,2883141.0787715
187064,1,1,0,0,-46.237234,169.738245,2,1,1348522.06,4874421.225,674237.9113830001,2437295.4816225
